drug,method,block,gene_symbol,relevant_tissues,modalities,n_supporting_features,supporting_features,max_selection_count,max_abs_coef,signed_coef,expr_tau,expr_entropy,expr_top_tissue,expr_second_tissue,expr_top_median,expr_second_median,expr_median_tissue,expr_top_to_median,expr_class,target_type,target_pathway,direct_target,pct_improvement_dsen,lto_pct_improvement,dsen_shared_win_rate
Dabrafenib,DSEN,shared,BRAF,NA,mutation,2,BRAF_mut.hs;BRAF_mut.hsrec,198,0.0494696996614763,-0.0494696996614763,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,primary,ERK MAPK signaling,TRUE,-0.147362357156523,-37.6308225954436,0.333333333333333
PLX-4720,DSEN,shared,BRAF,NA,mutation,1,BRAF_mut.hsrec,197,0.08724847758450296,-0.08724847758450296,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,primary,ERK MAPK signaling,TRUE,-7.39678652813264,-16.02261170504172,0.307692307692308
SB590885,DSEN,shared,BRAF,NA,mutation,2,BRAF_mut.hs;BRAF_mut.hsrec,164,0.031224623342436905,-0.031224623342436905,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,primary,ERK MAPK signaling,TRUE,-7.07467905345165,0.5844811698094187,0.545454545454545
PLX-4720_repl_1371,DSEN,shared,BRAF,NA,mutation,1,BRAF_mut.hsrec,143,0.015418150025098049,-0.015418150025098049,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,primary,ERK MAPK signaling,TRUE,-2.53451200864315,-9.566995144100362,0.461538461538462
Nutlin-3a (-),DSEN,shared,MDM2,NA,rppa_phospho,1,MDM2_pS166,132,0.0015870003893774156,-0.0015870003893774156,0.09297124107566569,0.9997170869797366,KIDNEY,SMALL_INTESTINE,6.142615,6.071650999999999,5.54588,1.107599695629909,intermediate,primary,p53 pathway,TRUE,0.133448992567489,1.1225403690718692,0.461538461538462
Refametinib,DSEN,shared,MAP2K1,NA,rppa_phospho,1,MEK1_pS217_S221,197,0.005043580708464246,-0.005043580708464246,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,10.4566022903118,-11.402025370450845,0.25
CI-1040,DSEN,shared,MAP2K1,NA,rppa_phospho,1,MEK1_pS217_S221,154,0.004888613874722046,-0.004888613874722046,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,6.74349788988655,-7.657142851441467,0.333333333333333
Trametinib,DSEN,shared,MAP2K1,NA,rppa_phospho,1,MEK1_pS217_S221,140,0.005428984271542484,-0.005428984271542484,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,8.31336960760879,-4.761352991175323,0.230769230769231
Refametinib_repl_1014,DSEN,shared,MAP2K1,NA,rppa_phospho,1,MEK1_pS217_S221,139,0.0022589254105314063,-0.0022589254105314063,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,3.6131286010883,-9.800441545313724,0.5
PD0325901,DSEN,shared,MAP2K1,NA,rppa_phospho,1,MEK1_pS217_S221,113,0.001070513325557251,-0.001070513325557251,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,4.97995465677282,-4.246488908807473,0.333333333333333
Afatinib_repl_1377,DSEN,shared,ERBB2,NA,copy_number;rppa_total,2,ERBB2_CN;HER2,198,0.004112634891428901,-0.004112634891428901,0.13017720485104894,0.9991291563833037,BREAST,SMALL_INTESTINE,8.031665,7.9550755,7.05220875,1.1388864517091897,intermediate,secondary,EGFR signaling,TRUE,8.76609450447551,2.693519744707862,0.615384615384615
Lapatinib,DSEN,shared,ERBB2,NA,rppa_total,1,HER2,136,2.3639967185461574e-4,-2.3639967185461574e-4,0.13017720485104894,0.9991291563833037,BREAST,SMALL_INTESTINE,8.031665,7.9550755,7.05220875,1.1388864517091897,intermediate,secondary,RTK signaling,TRUE,3.29442211665721,NA,NA
Afatinib,DSEN,shared,ERBB2,NA,copy_number;rppa_total,2,ERBB2_CN;HER2,110,0.0018705135910374582,-0.0018705135910374582,0.13017720485104894,0.9991291563833037,BREAST,SMALL_INTESTINE,8.031665,7.9550755,7.05220875,1.1388864517091897,intermediate,secondary,EGFR signaling,TRUE,11.9896986627341,0.39688863513618333,0.416666666666667
Cetuximab,DSEN,shared,EGFR,NA,rppa_total,1,EGFR,197,0.007120183943728614,-0.007120183943728614,0.19058247762170852,0.9980581867932458,OESOPHAGUS,UPPER_AERODIGESTIVE_TRACT,8.208178,8.109575,6.7070065,1.2238213873804953,restricted,primary,EGFR signaling,TRUE,0.43944162936584,-0.043967828095885085,0.416666666666667
Afatinib_repl_1377,DSEN,shared,EGFR,NA,rppa_phospho,1,EGFR_pY1173,129,0.001890782809023482,-0.001890782809023482,0.19058247762170852,0.9980581867932458,OESOPHAGUS,UPPER_AERODIGESTIVE_TRACT,8.208178,8.109575,6.7070065,1.2238213873804953,restricted,primary,EGFR signaling,TRUE,8.76609450447551,2.693519744707862,0.615384615384615
Gefitinib,DSEN,shared,EGFR,NA,rppa_total,1,EGFR,124,0.0010703897170897484,-0.0010703897170897484,0.19058247762170852,0.9980581867932458,OESOPHAGUS,UPPER_AERODIGESTIVE_TRACT,8.208178,8.109575,6.7070065,1.2238213873804953,restricted,primary,EGFR signaling,TRUE,17.3962894793903,-0.5232260957157397,0.583333333333333
Navitoclax,DSEN,shared,BCL2,NA,rppa_total,1,Bcl-2,199,0.008225060632308904,-0.008225060632308904,0.2302717885965931,0.9991439225654789,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AUTONOMIC_GANGLIA,6.009818,5.371293,4.544139749999999,1.3225425120343186,restricted,primary,Apoptosis regulation,TRUE,7.33644040164538,6.441587042087721,0.692307692307692
Pazopanib,DSEN,shared,PDGFRA,NA,expression,1,PDGFRA_Expr,116,6.686724364865931e-4,-6.686724364865931e-4,0.6365469407046809,0.981215117436014,FIBROBLAST,AUTONOMIC_GANGLIA,10.980715,8.049039,3.602088,3.0484305214086937,restricted,secondary,RTK signaling,TRUE,0.966009808588394,2.224890009854432,0.583333333333333
Midostaurin,DSEN,shared,LOC100507173,NA,copy_number,1,LOC100507173_CN,116,4.567500154983702e-4,-4.567500154983702e-4,0.018028455950168828,0.9999805062681355,BILIARY_TRACT,PROSTATE,3.6490435,3.6421785,3.5891694999999997,1.0166818535597164,broad,NA,NA,FALSE,0.082977824385362,-0.4369247366230667,0.615384615384615
MG-132,DSEN,shared,VWA3B,NA,mutation,1,VWA3B_mut.mis,134,0.001886665365015439,0.001886665365015439,0.020870879657643747,0.999984985729655,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BILIARY_TRACT,3.6927605000000003,3.6903924999999997,3.61256725,1.0221984102856494,broad,NA,NA,FALSE,8.34316997182102,NA,NA
MG-132,DSEN,shared,C2ORF80,NA,mutation,1,C2orf80_mut.mis,143,0.0034246408981638736,-0.0034246408981638736,0.021120410724726684,0.9999817472913884,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BILIARY_TRACT,3.767779,3.747851,3.6982255,1.0188072631049676,broad,NA,NA,FALSE,8.34316997182102,NA,NA
Lestauritinib,DSEN,shared,ENPP6,NA,copy_number,1,ENPP6_CN,107,0.0010035315986566228,-0.0010035315986566228,0.022143987408319403,0.9999715290882268,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLEURA,3.5070775000000003,3.502312,3.4294215,1.0226440523569356,broad,NA,NA,FALSE,6.10213528290296,6.18707375850848,0.666666666666667
Refametinib,DSEN,shared,PRDX1,NA,rppa_total,1,PRDX1,155,0.0033746890586995597,0.0033746890586995597,0.02218887273407917,0.999956361046084,KIDNEY,CERVIX,13.57009,13.5633,13.33574,1.0175730780594103,broad,NA,NA,FALSE,10.4566022903118,-11.402025370450845,0.25
VX-11e,DSEN,shared,PRDX1,NA,rppa_total,1,PRDX1,139,0.0037819477742196683,0.0037819477742196683,0.02218887273407917,0.999956361046084,KIDNEY,CERVIX,13.57009,13.5633,13.33574,1.0175730780594103,broad,NA,NA,FALSE,2.21838908232525,-0.07120116397426857,0.384615384615385
Selumetinib_repl_1498,DSEN,shared,PRDX1,NA,rppa_total,1,PRDX1,107,0.0036751978173584833,0.0036751978173584833,0.02218887273407917,0.999956361046084,KIDNEY,CERVIX,13.57009,13.5633,13.33574,1.0175730780594103,broad,NA,NA,FALSE,3.60177917555145,-17.178725350819747,0.230769230769231
