drug,en_stable_features,dsen_shared_stable_features,dsen_tissue_stable_features,dsen_shared_sparser_than_en,dsen_shared_zero
Tanespimycin,36,20,240,TRUE,FALSE
VX-702,0,3,0,FALSE,FALSE
Motesanib,0,1,6,FALSE,FALSE
KU-55933,0,0,17,FALSE,TRUE
Elesclomol,43,57,0,FALSE,FALSE
Afatinib,7,7,4,FALSE,FALSE
Vismodegib,0,5,4,FALSE,FALSE
PLX-4720,1,16,1,FALSE,FALSE
BX796,38,29,32,TRUE,FALSE
NU7441,0,0,18,FALSE,TRUE
SL0101,0,0,0,FALSE,TRUE
Doramapimod,0,0,0,FALSE,TRUE
JNK Inhibitor VIII,11,6,19,TRUE,FALSE
681640,29,2,185,TRUE,FALSE
Nutlin-3a (-),4,8,0,FALSE,FALSE
PD173074,3,0,6,TRUE,TRUE
ZM447439,4,21,27,FALSE,FALSE
RO-3306,4,4,33,FALSE,FALSE
MK-2206,9,0,7,TRUE,TRUE
Palbociclib,40,46,0,FALSE,FALSE
Dactolisib,30,4,0,TRUE,FALSE
Pictilisib,1,0,16,TRUE,TRUE
AZD8055,69,5,59,TRUE,FALSE
PD0325901,7,5,133,TRUE,FALSE
SB590885,1,15,1,FALSE,FALSE
Selumetinib,10,0,5,TRUE,TRUE
AZD6482,2,9,24,FALSE,FALSE
CCT007093,36,32,0,TRUE,FALSE
EHT-1864,1,19,0,FALSE,FALSE
Avagacestat,28,6,3,TRUE,FALSE
BMS-536924,4,6,16,FALSE,FALSE
Cetuximab,1,6,0,FALSE,FALSE
PF-4708671,0,0,9,FALSE,TRUE
Serdemetan,21,22,2,FALSE,FALSE
HG-5-113-01,26,0,18,TRUE,TRUE
HG-5-88-01,0,4,2,FALSE,FALSE
TW 37,58,6,1,TRUE,FALSE
XMD11-85h,0,6,13,FALSE,FALSE
ZG-10,14,10,0,TRUE,FALSE
XMD8-92,16,1,2,TRUE,FALSE
QL-VIII-58,1,1,4,FALSE,FALSE
CCT-018159,52,24,10,TRUE,FALSE
Rucaparib,0,6,22,FALSE,FALSE
GSK269962A,2,1,10,TRUE,FALSE
SB-505124,0,8,0,FALSE,FALSE
Tamoxifen,0,0,0,FALSE,TRUE
QL-XII-61,16,3,2,TRUE,FALSE
JQ1,34,0,74,TRUE,TRUE
PFI-1,9,8,11,TRUE,FALSE
IOX2,1,1,0,FALSE,FALSE
UNC0638,54,4,56,TRUE,FALSE
YK-4-279,82,14,4,TRUE,FALSE
CHIR-99021,44,8,34,TRUE,FALSE
(5Z)-7-Oxozeaenol,14,7,5,TRUE,FALSE
Piperlongumine,29,2,1,TRUE,FALSE
Daporinad,79,55,68,TRUE,FALSE
Talazoparib,44,8,4,TRUE,FALSE
rTRAIL,5,0,5,TRUE,TRUE
UNC1215,5,2,0,TRUE,FALSE
SGC0946,0,0,13,FALSE,TRUE
XAV939,52,34,4,TRUE,FALSE
PLX-4720_repl_1371,1,3,6,FALSE,FALSE
Trametinib,20,5,43,TRUE,FALSE
Dabrafenib,5,9,7,FALSE,FALSE
Temozolomide,0,0,0,FALSE,TRUE
Afatinib_repl_1377,5,33,41,FALSE,FALSE
Bleomycin (50 uM),86,34,75,TRUE,FALSE
SN-38,11,11,0,FALSE,FALSE
Olaparib,41,4,19,TRUE,FALSE
Selumetinib_repl_1498,16,21,0,FALSE,FALSE
Bicalutamide,0,23,0,FALSE,FALSE
Refametinib,15,50,148,FALSE,FALSE
Pictilisib_repl_1527,0,24,0,FALSE,FALSE
Pevonedistat,63,8,11,TRUE,FALSE
Doxorubicin,4,3,0,TRUE,FALSE
Etoposide,44,28,10,TRUE,FALSE
Gemcitabine,11,6,0,TRUE,FALSE
Mitomycin-C,6,5,1,TRUE,FALSE
Vinorelbine,20,7,0,TRUE,FALSE
NSC-87877,0,0,7,FALSE,TRUE
Bicalutamide_repl_150,0,33,85,FALSE,FALSE
QS11,4,2,0,TRUE,FALSE
CP466722,103,14,220,TRUE,FALSE
Midostaurin,35,23,0,TRUE,FALSE
CHIR-99021_repl_154,0,0,19,FALSE,TRUE
Ponatinib,24,1,8,TRUE,FALSE
AZD6482_repl_156,0,29,16,FALSE,FALSE
JNK-9L,39,21,0,TRUE,FALSE
PF-562271,24,18,0,TRUE,FALSE
HG6-64-1,74,6,4,TRUE,FALSE
JQ1_repl_163,3,0,3,TRUE,TRUE
JQ12,1,0,2,TRUE,TRUE
DMOG,63,12,1,TRUE,FALSE
FTI-277,1,5,27,FALSE,FALSE
OSU-03012,58,35,0,TRUE,FALSE
Shikonin,29,4,0,TRUE,FALSE
AKT inhibitor VIII,1,41,1,FALSE,FALSE
Embelin,23,17,5,TRUE,FALSE
FH535,12,2,29,TRUE,FALSE
PAC-1,14,0,58,TRUE,TRUE
IPA-3,57,21,52,TRUE,FALSE
GSK650394,4,7,0,FALSE,FALSE
BAY-61-3606,54,15,54,TRUE,FALSE
5-Fluorouracil,71,18,138,TRUE,FALSE
Thapsigargin,5,23,0,FALSE,FALSE
Obatoclax Mesylate,44,1,46,TRUE,FALSE
BMS-754807,50,4,40,TRUE,FALSE
Linsitinib,32,8,22,TRUE,FALSE
Bexarotene,0,2,0,FALSE,FALSE
Bleomycin,10,3,0,TRUE,FALSE
LFM-A13,0,0,0,FALSE,TRUE
GW-2580,0,0,3,FALSE,TRUE
Luminespib,3,3,0,FALSE,FALSE
Phenformin,43,0,1,TRUE,TRUE
Bryostatin 1,0,1,14,FALSE,FALSE
Pazopanib,24,20,4,TRUE,FALSE
Dacinostat,59,23,65,TRUE,FALSE
Epothilone B,5,4,0,TRUE,FALSE
GSK1904529A,8,0,35,TRUE,TRUE
BMS-345541,68,0,6,TRUE,TRUE
Tipifarnib,4,1,0,TRUE,FALSE
Avagacestat_repl_205,1,0,0,TRUE,TRUE
Ruxolitinib,10,0,14,TRUE,TRUE
AS601245,35,31,0,TRUE,FALSE
Ispinesib Mesylate,78,44,91,TRUE,FALSE
TL-2-105,60,13,68,TRUE,FALSE
AT-7519,103,13,1,TRUE,FALSE
TAK-715,69,7,108,TRUE,FALSE
BX-912,12,107,90,FALSE,FALSE
ZSTK474,83,6,115,TRUE,FALSE
AS605240,28,2,25,TRUE,FALSE
Genentech Cpd 10,80,15,162,TRUE,FALSE
GSK1070916,91,93,107,FALSE,FALSE
AKT inhibitor VIII_repl_228,85,4,192,TRUE,FALSE
Enzastaurin,56,45,0,TRUE,FALSE
GSK429286A,29,40,0,FALSE,FALSE
FMK,0,0,10,FALSE,TRUE
QL-XII-47,25,1,2,TRUE,FALSE
Idelalisib,48,15,82,TRUE,FALSE
UNC0638_repl_245,43,1,102,TRUE,FALSE
Cabozantinib,9,6,83,TRUE,FALSE
WZ3105,14,13,3,TRUE,FALSE
XMD14-99,57,17,0,TRUE,FALSE
Quizartinib,0,0,57,FALSE,TRUE
CP724714,44,1,6,TRUE,FALSE
JW-7-24-1,96,4,134,TRUE,FALSE
NPK76-II-72-1,13,10,41,TRUE,FALSE
STF-62247,25,4,2,TRUE,FALSE
NG-25,6,1,22,TRUE,FALSE
TL-1-85,130,31,45,TRUE,FALSE
VX-11e,21,13,1,TRUE,FALSE
FR-180204,1,14,26,FALSE,FALSE
Tubastatin A,94,1,3,TRUE,FALSE
Zibotentan,0,0,0,FALSE,TRUE
Sepantronium bromide,5,7,1,FALSE,FALSE
NSC-207895,28,1,50,TRUE,FALSE
VNLG/124,8,26,0,FALSE,FALSE
AR-42,86,28,59,TRUE,FALSE
CUDC-101,76,2,2,TRUE,FALSE
Belinostat,70,3,41,TRUE,FALSE
I-BET-762,13,17,211,FALSE,FALSE
CAY10603,100,23,53,TRUE,FALSE
Linifanib,15,0,48,TRUE,TRUE
BIX02189,94,15,103,TRUE,FALSE
Alectinib,0,22,0,FALSE,FALSE
Pelitinib,46,10,37,TRUE,FALSE
Omipalisib,65,19,75,TRUE,FALSE
KIN001-236,60,1,4,TRUE,FALSE
KIN001-244,71,9,70,TRUE,FALSE
WHI-P97,12,10,22,TRUE,FALSE
KIN001-260,84,1,13,TRUE,FALSE
KIN001-266,29,20,1,TRUE,FALSE
Masitinib,15,11,12,TRUE,FALSE
Amuvatinib,11,29,0,FALSE,FALSE
MPS-1-IN-1,34,5,183,TRUE,FALSE
NVP-BHG712,90,21,153,TRUE,FALSE
OSI-930,35,7,20,TRUE,FALSE
OSI-027,90,0,129,TRUE,TRUE
CX-5461,6,32,147,FALSE,FALSE
PHA-793887,103,33,38,TRUE,FALSE
PI-103,92,26,87,TRUE,FALSE
PIK-93,93,1,7,TRUE,FALSE
SB52334,9,3,186,TRUE,FALSE
TPCA-1,9,9,148,FALSE,FALSE
Fedratinib,121,6,193,TRUE,FALSE
WIKI4,80,1,21,TRUE,FALSE
Y-39983,72,9,55,TRUE,FALSE
YM201636,44,3,188,TRUE,FALSE
Tivozanib,4,0,37,TRUE,TRUE
GSK690693,59,2,103,TRUE,FALSE
QL-XI-92,6,51,75,FALSE,FALSE
XMD13-2,80,9,101,TRUE,FALSE
QL-X-138,77,1,32,TRUE,FALSE
XMD15-27,10,38,0,FALSE,FALSE
T0901317,5,0,101,TRUE,TRUE
Selisistat,0,0,0,FALSE,TRUE
THZ-2-49,67,7,117,TRUE,FALSE
KIN001-270,55,1,2,TRUE,FALSE
AICA Ribonucleotide,77,13,20,TRUE,FALSE
Camptothecin,12,16,0,FALSE,FALSE
Vinblastine,63,47,4,TRUE,FALSE
Cisplatin,48,18,60,TRUE,FALSE
Cytarabine,21,7,36,TRUE,FALSE
Docetaxel,95,14,5,TRUE,FALSE
Methotrexate,48,10,2,TRUE,FALSE
Tretinoin,27,8,77,TRUE,FALSE
Gefitinib,11,1,5,TRUE,FALSE
Navitoclax,103,49,55,TRUE,FALSE
Vorinostat,77,30,73,TRUE,FALSE
Nilotinib,17,22,2,FALSE,FALSE
Refametinib_repl_1014,10,8,100,TRUE,FALSE
CI-1040,9,16,12,FALSE,FALSE
Temsirolimus,31,0,29,TRUE,TRUE
Olaparib_repl_1017,0,3,34,FALSE,FALSE
Veliparib,0,1,17,FALSE,FALSE
Bosutinib,24,1,28,TRUE,FALSE
Lenalidomide,0,0,0,FALSE,TRUE
Axitinib,4,0,8,TRUE,TRUE
AZD7762,113,61,39,TRUE,FALSE
GW441756,0,16,6,FALSE,FALSE
Lestauritinib,87,65,16,TRUE,FALSE
SNX-2112,7,3,30,TRUE,FALSE
THZ-2-102-1,99,31,75,TRUE,FALSE
SB216763,8,19,0,FALSE,FALSE
Erlotinib,1,0,65,TRUE,TRUE
Rapamycin,0,5,68,FALSE,FALSE
Sunitinib,26,5,72,TRUE,FALSE
PHA-665752,0,6,0,FALSE,FALSE
MG-132,4,125,17,FALSE,FALSE
Paclitaxel,4,0,1,TRUE,TRUE
Cyclopamine,0,29,0,FALSE,FALSE
AZ628,32,2,26,TRUE,FALSE
Sorafenib,0,0,64,FALSE,TRUE
Tozasertib,1,7,0,FALSE,FALSE
Imatinib,69,0,122,TRUE,TRUE
NVP-TAE684,60,0,7,TRUE,TRUE
Crizotinib,3,111,0,FALSE,FALSE
Saracatinib,42,5,63,TRUE,FALSE
S-Trityl-L-cysteine,2,2,12,FALSE,FALSE
Z-LLNle-CHO,7,0,3,TRUE,TRUE
Dasatinib,37,0,39,TRUE,TRUE
GNF-2,41,0,41,TRUE,TRUE
CGP-60474,6,0,56,TRUE,TRUE
CGP-082996,46,0,73,TRUE,TRUE
A-770041,0,0,56,FALSE,TRUE
WH-4-023,23,0,15,TRUE,TRUE
WZ-1-84,0,0,77,FALSE,TRUE
BI-2536,30,3,0,TRUE,FALSE
BMS-536924_repl_62,11,0,2,TRUE,TRUE
BMS-509744,0,0,2,FALSE,TRUE
CMK,25,0,6,TRUE,TRUE
Pyrimethamine,0,0,4,FALSE,TRUE
JW-7-52-1,1,4,0,FALSE,FALSE
A-443654,0,0,21,FALSE,TRUE
GW843682X,18,0,2,TRUE,TRUE
Entinostat,0,0,12,FALSE,TRUE
Parthenolide,0,0,0,FALSE,TRUE
GSK319347A,0,0,3,FALSE,TRUE
TGX221,31,0,5,TRUE,TRUE
Bortezomib,6,22,53,FALSE,FALSE
XMD8-85,25,7,43,TRUE,FALSE
Seliciclib,81,64,10,TRUE,FALSE
Salubrinal,0,17,0,FALSE,FALSE
Lapatinib,0,19,50,FALSE,FALSE
GSK269962A_repl_127,10,0,36,TRUE,TRUE
